20220708_GM12878.sc001	Bar19	Bar9
20220708_GM12878.sc002	Bar19	Bar11
20220708_GM12878.sc003	Bar19	Bar12
20220708_GM12878.sc004	Bar19	Bar13
20220708_GM12878.sc005	Bar19	Bar14
20220708_GM12878.sc006	Bar19	Bar15
20220708_GM12878.sc007	Bar19	Bar16
20220708_GM12878.sc008	Bar19	Bar18
20220708_GM12878.sc009	Bar20	Bar9
20220708_GM12878.sc010	Bar20	Bar11
20220708_GM12878.sc011	Bar20	Bar12
20220708_GM12878.sc012	Bar20	Bar13
20220708_GM12878.sc013	Bar20	Bar14
20220708_GM12878.sc014	Bar20	Bar15
20220708_GM12878.sc015	Bar20	Bar16
20220708_GM12878.sc016	Bar20	Bar18
20220708_GM12878.sc017	Bar21	Bar9
20220708_GM12878.sc018	Bar21	Bar11
20220708_GM12878.sc019	Bar21	Bar12
20220708_GM12878.sc020	Bar21	Bar13
20220708_GM12878.sc021	Bar21	Bar14
20220708_GM12878.sc022	Bar21	Bar15
20220708_GM12878.sc023	Bar21	Bar16
20220708_GM12878.sc024	Bar21	Bar18
20220708_GM12878.sc025	Bar22	Bar9
20220708_GM12878.sc026	Bar22	Bar11
20220708_GM12878.sc027	Bar22	Bar12
20220708_GM12878.sc028	Bar22	Bar13
20220708_GM12878.sc029	Bar22	Bar14
20220708_GM12878.sc030	Bar22	Bar15
20220708_GM12878.sc031	Bar22	Bar16
20220708_GM12878.sc032	Bar22	Bar18
20220708_GM12878.sc033	Bar23	Bar9
20220708_GM12878.sc034	Bar23	Bar11
20220708_GM12878.sc035	Bar23	Bar12
20220708_GM12878.sc036	Bar23	Bar13
20220708_GM12878.sc037	Bar23	Bar14
20220708_GM12878.sc038	Bar23	Bar15
20220708_GM12878.sc039	Bar23	Bar16
20220708_GM12878.sc040	Bar23	Bar18
20220708_GM12878.sc041	Bar26	Bar9
20220708_GM12878.sc042	Bar26	Bar11
20220708_GM12878.sc043	Bar26	Bar12
20220708_GM12878.sc044	Bar26	Bar13
20220708_GM12878.sc045	Bar26	Bar14
20220708_GM12878.sc046	Bar26	Bar15
20220708_GM12878.sc047	Bar26	Bar16
20220708_GM12878.sc048	Bar26	Bar18
20220708_GM12878.sc049	Bar27	Bar9
20220708_GM12878.sc050	Bar27	Bar11
20220708_GM12878.sc051	Bar27	Bar12
20220708_GM12878.sc052	Bar27	Bar13
20220708_GM12878.sc053	Bar27	Bar14
20220708_GM12878.sc054	Bar27	Bar16
20220708_GM12878.sc055	Bar27	Bar18
20220708_GM12878.sc056	Bar28	Bar9
20220708_GM12878.sc057	Bar28	Bar11
20220708_GM12878.sc058	Bar28	Bar12
20220708_GM12878.sc059	Bar28	Bar13
20220708_GM12878.sc060	Bar28	Bar14
20220708_GM12878.sc061	Bar28	Bar15
20220708_GM12878.sc062	Bar28	Bar16
20220708_GM12878.sc063	Bar28	Bar18
20220708_GM12878.sc064	Bar29	Bar9
20220708_GM12878.sc065	Bar29	Bar11
20220708_GM12878.sc066	Bar29	Bar12
20220708_GM12878.sc067	Bar29	Bar13
20220708_GM12878.sc068	Bar29	Bar14
20220708_GM12878.sc069	Bar29	Bar15
20220708_GM12878.sc070	Bar29	Bar16
20220708_GM12878.sc071	Bar29	Bar18
20220708_GM12878.sc072	Bar30	Bar9
20220708_GM12878.sc073	Bar30	Bar11
20220708_GM12878.sc074	Bar30	Bar12
20220708_GM12878.sc075	Bar30	Bar13
20220708_GM12878.sc076	Bar30	Bar14
20220708_GM12878.sc077	Bar30	Bar15
20220708_GM12878.sc078	Bar30	Bar16
20220708_GM12878.sc079	Bar30	Bar18
20220708_GM12878.sc080	Bar7	Bar11
20220708_GM12878.sc081	Bar7	Bar12
20220708_GM12878.sc082	Bar7	Bar13
20220708_GM12878.sc083	Bar7	Bar14
20220708_GM12878.sc084	Bar7	Bar15
20220708_GM12878.sc085	Bar7	Bar16
20220708_GM12878.sc086	Bar7	Bar18
20220708_GM12878.sc087	Bar8	Bar9
20220708_GM12878.sc088	Bar8	Bar11
20220708_GM12878.sc089	Bar8	Bar12
20220708_GM12878.sc090	Bar8	Bar13
20220708_GM12878.sc091	Bar8	Bar14
20220708_GM12878.sc092	Bar8	Bar15
20220708_GM12878.sc093	Bar8	Bar16
20220708_GM12878.sc094	Bar8	Bar18
